GEOID,NAME,Median_Rent,
1400000US06001438000,"Census Tract 4380, Alameda County, California",1049,
1400000US06001438100,"Census Tract 4381, Alameda County, California",917,
1400000US06001438201,"Census Tract 4382.01, Alameda County, California",939,
1400000US06001438202,"Census Tract 4382.02, Alameda County, California",1032,
1400000US06001438300,"Census Tract 4383, Alameda County, California",967,
1400000US06001438400,"Census Tract 4384, Alameda County, California",961,
1400000US06001440100,"Census Tract 4401, Alameda County, California",1058,
1400000US06001440200,"Census Tract 4402, Alameda County, California",848,
1400000US06001440301,"Census Tract 4403.01, Alameda County, California",965,
1400000US06001440302,"Census Tract 4403.02, Alameda County, California",1133,
1400000US06001440304,"Census Tract 4403.04, Alameda County, California",998,
1400000US06001440305,"Census Tract 4403.05, Alameda County, California",1250,
1400000US06001440306,"Census Tract 4403.06, Alameda County, California",1113,
1400000US06001440307,"Census Tract 4403.07, Alameda County, California",791,
1400000US06001440308,"Census Tract 4403.08, Alameda County, California",952,
1400000US06001440309,"Census Tract 4403.09, Alameda County, California",1082,
1400000US06001440331,"Census Tract 4403.31, Alameda County, California",935,
1400000US06001440332,"Census Tract 4403.32, Alameda County, California","2,000",
1400000US06001441100,"Census Tract 4411, Alameda County, California",897,
1400000US06001441200,"Census Tract 4412, Alameda County, California",982,
1400000US06001441301,"Census Tract 4413.01, Alameda County, California",1309,
1400000US06001441302,"Census Tract 4413.02, Alameda County, California",1028,
1400000US06001441401,"Census Tract 4414.01, Alameda County, California",997,
1400000US06001441402,"Census Tract 4414.02, Alameda County, California",1126,
1400000US06001441501,"Census Tract 4415.01, Alameda County, California",1291,
1400000US06001441503,"Census Tract 4415.03, Alameda County, California",1202,
1400000US06001441521,"Census Tract 4415.21, Alameda County, California",1426,
1400000US06001441522,"Census Tract 4415.22, Alameda County, California",1284,
1400000US06001441601,"Census Tract 4416.01, Alameda County, California",1393,
1400000US06001441602,"Census Tract 4416.02, Alameda County, California",1019,
1400000US06001441700,"Census Tract 4417, Alameda County, California",1024,
1400000US06001441800,"Census Tract 4418, Alameda County, California",1072,
1400000US06001441901,"Census Tract 4419.01, Alameda County, California",1350,
1400000US06001441921,"Census Tract 4419.21, Alameda County, California",1385,
1400000US06001441922,"Census Tract 4419.22, Alameda County, California",1049,
1400000US06001441923,"Census Tract 4419.23, Alameda County, California",1099,
1400000US06001442000,"Census Tract 4420, Alameda County, California",1203,
1400000US06001442100,"Census Tract 4421, Alameda County, California",1584,
1400000US06001442200,"Census Tract 4422, Alameda County, California",1250,
1400000US06001442300,"Census Tract 4423, Alameda County, California",985,
1400000US06001442400,"Census Tract 4424, Alameda County, California",1084,
1400000US06001442500,"Census Tract 4425, Alameda County, California",1063,
1400000US06001442600,"Census Tract 4426, Alameda County, California",981,
1400000US06001442700,"Census Tract 4427, Alameda County, California",1137,
1400000US06001442800,"Census Tract 4428, Alameda County, California",992,
1400000US06001442900,"Census Tract 4429, Alameda County, California",1194,
1400000US06001443001,"Census Tract 4430.01, Alameda County, California",1149,
1400000US06001443002,"Census Tract 4430.02, Alameda County, California",1122,
1400000US06001443101,"Census Tract 4431.01, Alameda County, California",1204,
1400000US06001443102,"Census Tract 4431.02, Alameda County, California",1846,
1400000US06001443103,"Census Tract 4431.03, Alameda County, California",1488,
1400000US06001443200,"Census Tract 4432, Alameda County, California",0,
1400000US06001443301,"Census Tract 4433.01, Alameda County, California",1598,
1400000US06001443302,"Census Tract 4433.02, Alameda County, California",1010,
1400000US06001444100,"Census Tract 4441, Alameda County, California",343,
1400000US06001444200,"Census Tract 4442, Alameda County, California",1154,
1400000US06001444300,"Census Tract 4443, Alameda County, California",893,
1400000US06001444400,"Census Tract 4444, Alameda County, California",995,
1400000US06001444500,"Census Tract 4445, Alameda County, California",1052,
1400000US06001444600,"Census Tract 4446, Alameda County, California",1224,
1400000US06001450100,"Census Tract 4501, Alameda County, California",1530,
1400000US06001450200,"Census Tract 4502, Alameda County, California",1239,
1400000US06001450300,"Census Tract 4503, Alameda County, California",1301,
1400000US06001450400,"Census Tract 4504, Alameda County, California",1127,
1400000US06001450500,"Census Tract 4505, Alameda County, California",1181,
1400000US06001450601,"Census Tract 4506.01, Alameda County, California",1135,
1400000US06001450602,"Census Tract 4506.02, Alameda County, California",1315,
1400000US06001450603,"Census Tract 4506.03, Alameda County, California",1576,
1400000US06001450604,"Census Tract 4506.04, Alameda County, California",1106,
1400000US06001450605,"Census Tract 4506.05, Alameda County, California",1304,
1400000US06001450606,"Census Tract 4506.06, Alameda County, California",1240,
1400000US06001450607,"Census Tract 4506.07, Alameda County, California",887,
1400000US06001450701,"Census Tract 4507.01, Alameda County, California",1275,
1400000US06001450703,"Census Tract 4507.03, Alameda County, California",1247,
1400000US06001450721,"Census Tract 4507.21, Alameda County, California",704,
1400000US06001450722,"Census Tract 4507.22, Alameda County, California",1216,
1400000US06001450741,"Census Tract 4507.41, Alameda County, California",934,
1400000US06001450742,"Census Tract 4507.42, Alameda County, California",1158,
1400000US06001451101,"Census Tract 4511.01, Alameda County, California",1089,
1400000US06001451102,"Census Tract 4511.02, Alameda County, California",696,
1400000US06001451201,"Census Tract 4512.01, Alameda County, California",905,
1400000US06001451202,"Census Tract 4512.02, Alameda County, California",1042,
1400000US06001451300,"Census Tract 4513, Alameda County, California",1132,
1400000US06001451401,"Census Tract 4514.01, Alameda County, California",964,
1400000US06001451402,"Census Tract 4514.02, Alameda County, California",909,
1400000US06001451501,"Census Tract 4515.01, Alameda County, California",866,
1400000US06001451502,"Census Tract 4515.02, Alameda County, California",1010,
1400000US06001451503,"Census Tract 4515.03, Alameda County, California",850,
1400000US06001451601,"Census Tract 4516.01, Alameda County, California",931,
1400000US06001451602,"Census Tract 4516.02, Alameda County, California",1033,
1400000US06001451701,"Census Tract 4517.01, Alameda County, California",1315,
1400000US06001451702,"Census Tract 4517.02, Alameda County, California",924,
1400000US06003010000,"Census Tract 100, Alpine County, California",512,
1400000US06005000100,"Census Tract 1, Amador County, California",597,
1400000US06005000200,"Census Tract 2, Amador County, California",527,
1400000US06005000301,"Census Tract 3.01, Amador County, California",613,
1400000US06005000302,"Census Tract 3.02, Amador County, California",605,
1400000US06005000401,"Census Tract 4.01, Amador County, California",580,
1400000US06005000402,"Census Tract 4.02, Amador County, California",452,
1400000US06005000500,"Census Tract 5, Amador County, California",659,
1400000US06007000101,"Census Tract 1.01, Butte County, California",569,
1400000US06007000102,"Census Tract 1.02, Butte County, California",564,
1400000US06007000201,"Census Tract 2.01, Butte County, California",502,
1400000US06007000202,"Census Tract 2.02, Butte County, California",516,
1400000US06007000300,"Census Tract 3, Butte County, California",490,
1400000US06007000400,"Census Tract 4, Butte County, California",516,
1400000US06007000501,"Census Tract 5.01, Butte County, California",556,
1400000US06007000502,"Census Tract 5.02, Butte County, California",482,
1400000US06007000601,"Census Tract 6.01, Butte County, California",540,
1400000US06007000603,"Census Tract 6.03, Butte County, California",483,
1400000US06007000604,"Census Tract 6.04, Butte County, California",486,
1400000US06007000700,"Census Tract 7, Butte County, California",488,
1400000US06007000800,"Census Tract 8, Butte County, California",559,
1400000US06007000900,"Census Tract 9, Butte County, California",618,
1400000US06007001000,"Census Tract 10, Butte County, California",460,
1400000US06007001100,"Census Tract 11, Butte County, California",555,
1400000US06007001200,"Census Tract 12, Butte County, California",544,
1400000US06007001300,"Census Tract 13, Butte County, California",429,
1400000US06007001400,"Census Tract 14, Butte County, California",580,
1400000US06007001500,"Census Tract 15, Butte County, California",505,
1400000US06007001600,"Census Tract 16, Butte County, California",548,
1400000US06007001701,"Census Tract 17.01, Butte County, California",531,
1400000US06007001702,"Census Tract 17.02, Butte County, California",466,
1400000US06007001800,"Census Tract 18, Butte County, California",470,
1400000US06007001900,"Census Tract 19, Butte County, California",538,
1400000US06007002000,"Census Tract 20, Butte County, California",504,
1400000US06007002100,"Census Tract 21, Butte County, California",457,
1400000US06007002200,"Census Tract 22, Butte County, California",488,
1400000US06007002300,"Census Tract 23, Butte County, California",524,
1400000US06007002400,"Census Tract 24, Butte County, California",387,
1400000US06007002500,"Census Tract 25, Butte County, California",396,
1400000US06007002600,"Census Tract 26, Butte County, California",519,
1400000US06007002700,"Census Tract 27, Butte County, California",420,
1400000US06007002800,"Census Tract 28, Butte County, California",364,
1400000US06007002900,"Census Tract 29, Butte County, California",464,
1400000US06007003000,"Census Tract 30, Butte County, California",389,
1400000US06007003100,"Census Tract 31, Butte County, California",436,
1400000US06007003200,"Census Tract 32, Butte County, California",402,
1400000US06007003300,"Census Tract 33, Butte County, California",404,
1400000US06007003400,"Census Tract 34, Butte County, California",298,
1400000US06007003500,"Census Tract 35, Butte County, California",386,
1400000US06007003600,"Census Tract 36, Butte County, California",423,
1400000US06009000110,"Census Tract 1.10, Calaveras County, California",486,
1400000US06009000120,"Census Tract 1.20, Calaveras County, California",579,
1400000US06009000210,"Census Tract 2.10, Calaveras County, California",554,
1400000US06009000220,"Census Tract 2.20, Calaveras County, California",667,
1400000US06009000300,"Census Tract 3, Calaveras County, California",493,
1400000US06009000400,"Census Tract 4, Calaveras County, California",429,
1400000US06009000500,"Census Tract 5, Calaveras County, California",503,
1400000US06011000100,"Census Tract 1, Colusa County, California",373,
1400000US06011000200,"Census Tract 2, Colusa County, California",429,
1400000US06011000300,"Census Tract 3, Colusa County, California",460,
1400000US06011000400,"Census Tract 4, Colusa County, California",375,
1400000US06011000500,"Census Tract 5, Colusa County, California",410,
1400000US06013301000,"Census Tract 3010, Contra Costa County, California",575,
1400000US06013302002,"Census Tract 3020.02, Contra Costa County, California",768,
1400000US06013302003,"Census Tract 3020.03, Contra Costa County, California",693,
1400000US06013302004,"Census Tract 3020.04, Contra Costa County, California",999,
1400000US06013303100,"Census Tract 3031, Contra Costa County, California",695,
1400000US06013303200,"Census Tract 3032, Contra Costa County, California",876,
1400000US06013304000,"Census Tract 3040, Contra Costa County, California",1138,
1400000US06013305000,"Census Tract 3050, Contra Costa County, California",622,
1400000US06013306001,"Census Tract 3060.01, Contra Costa County, California",704,
1400000US06013306002,"Census Tract 3060.02, Contra Costa County, California",901,
1400000US06013307101,"Census Tract 3071.01, Contra Costa County, California",708,
1400000US06013307102,"Census Tract 3071.02, Contra Costa County, California",650,
1400000US06013307201,"Census Tract 3072.01, Contra Costa County, California",652,
1400000US06013307202,"Census Tract 3072.02, Contra Costa County, California",662,
1400000US06013307204,"Census Tract 3072.04, Contra Costa County, California",939,
1400000US06013307205,"Census Tract 3072.05, Contra Costa County, California",772,
1400000US06013308001,"Census Tract 3080.01, Contra Costa County, California",741,
1400000US06013308002,"Census Tract 3080.02, Contra Costa County, California",1039,
1400000US06013309000,"Census Tract 3090, Contra Costa County, California",760,
1400000US06013310000,"Census Tract 3100, Contra Costa County, California",562,
1400000US06013311000,"Census Tract 3110, Contra Costa County, California",754,
1400000US06013312000,"Census Tract 3120, Contra Costa County, California",293,
1400000US06013313101,"Census Tract 3131.01, Contra Costa County, California",736,
1400000US06013313102,"Census Tract 3131.02, Contra Costa County, California",868,
1400000US06013313103,"Census Tract 3131.03, Contra Costa County, California",938,
1400000US06013313201,"Census Tract 3132.01, Contra Costa County, California",687,
1400000US06013313202,"Census Tract 3132.02, Contra Costa County, California",824,
1400000US06013314102,"Census Tract 3141.02, Contra Costa County, California",697,
1400000US06013314103,"Census Tract 3141.03, Contra Costa County, California",755,
1400000US06013314104,"Census Tract 3141.04, Contra Costa County, California",559,
1400000US06013314200,"Census Tract 3142, Contra Costa County, California",646,
1400000US06013315000,"Census Tract 3150, Contra Costa County, California",1081,
1400000US06013316000,"Census Tract 3160, Contra Costa County, California",586,
1400000US06013317000,"Census Tract 3170, Contra Costa County, California",643,
1400000US06013318000,"Census Tract 3180, Contra Costa County, California",704,
1400000US06013319000,"Census Tract 3190, Contra Costa County, California",848,
1400000US06013320001,"Census Tract 3200.01, Contra Costa County, California",726,
1400000US06013320002,"Census Tract 3200.02, Contra Costa County, California",889,
1400000US06013321101,"Census Tract 3211.01, Contra Costa County, California",922,
1400000US06013321102,"Census Tract 3211.02, Contra Costa County, California",1353,
1400000US06013321103,"Census Tract 3211.03, Contra Costa County, California",912,
1400000US06013321200,"Census Tract 3212, Contra Costa County, California",914,
1400000US06013322000,"Census Tract 3220, Contra Costa County, California",1121,
1400000US06013323000,"Census Tract 3230, Contra Costa County, California",1138,
1400000US06013324000,"Census Tract 3240, Contra Costa County, California",899,
1400000US06013325000,"Census Tract 3250, Contra Costa County, California",830,
1400000US06013326000,"Census Tract 3260, Contra Costa County, California",1119,
1400000US06013327000,"Census Tract 3270, Contra Costa County, California",811,
1400000US06013328000,"Census Tract 3280, Contra Costa County, California",621,
1400000US06013329000,"Census Tract 3290, Contra Costa County, California",831,
1400000US06013330000,"Census Tract 3300, Contra Costa County, California",1021,
1400000US06013331000,"Census Tract 3310, Contra Costa County, California",801,
1400000US06013332000,"Census Tract 3320, Contra Costa County, California",899,
1400000US06013333100,"Census Tract 3331, Contra Costa County, California",913,
1400000US06013333200,"Census Tract 3332, Contra Costa County, California",958,
1400000US06013334001,"Census Tract 3340.01, Contra Costa County, California",769,
1400000US06013334003,"Census Tract 3340.03, Contra Costa County, California",1325,
1400000US06013334004,"Census Tract 3340.04, Contra Costa County, California",930,
1400000US06013334005,"Census Tract 3340.05, Contra Costa County, California",906,
1400000US06013335000,"Census Tract 3350, Contra Costa County, California",852,
1400000US06013336101,"Census Tract 3361.01, Contra Costa County, California",775,
1400000US06013336102,"Census Tract 3361.02, Contra Costa County, California",763,
1400000US06013336200,"Census Tract 3362, Contra Costa County, California",697,
1400000US06013337100,"Census Tract 3371, Contra Costa County, California",1021,
1400000US06013337200,"Census Tract 3372, Contra Costa County, California",891,
1400000US06013337300,"Census Tract 3373, Contra Costa County, California",1048,
1400000US06013338100,"Census Tract 3381, Contra Costa County, California",777,
1400000US06013338201,"Census Tract 3382.01, Contra Costa County, California",1255,
1400000US06013338202,"Census Tract 3382.02, Contra Costa County, California",1103,
