GEOID,Label for GEO_ID,Total,Owner Occupied,Renter Occupied
1400000US06001420200,"Census Tract 4202, Alameda County, California",52411,61200,46920
1400000US06001420300,"Census Tract 4203, Alameda County, California",54708,64931,44250
1400000US06001420400,"Census Tract 4204, Alameda County, California",26897,0,26897
1400000US06001420500,"Census Tract 4205, Alameda County, California",54250,64464,48226
1400000US06001420600,"Census Tract 4206, Alameda County, California",71097,76942,58393
1400000US06001421100,"Census Tract 4211, Alameda County, California",112564,118080,63000
1400000US06001421200,"Census Tract 4212, Alameda County, California",127071,137509,80464
1400000US06001421300,"Census Tract 4213, Alameda County, California",93191,99766,63553
1400000US06001421400,"Census Tract 4214, Alameda County, California",95893,103835,65750
1400000US06001421500,"Census Tract 4215, Alameda County, California",101123,118290,54167
1400000US06001421600,"Census Tract 4216, Alameda County, California",98160,108432,68750
1400000US06001421700,"Census Tract 4217, Alameda County, California",54766,84346,45913
1400000US06001421800,"Census Tract 4218, Alameda County, California",56597,78854,37167
1400000US06001421900,"Census Tract 4219, Alameda County, California",58792,66875,46607
1400000US06001422000,"Census Tract 4220, Alameda County, California",33438,45556,29185
1400000US06001422100,"Census Tract 4221, Alameda County, California",37059,51181,29598
1400000US06001422200,"Census Tract 4222, Alameda County, California",38966,68672,29107
1400000US06001422300,"Census Tract 4223, Alameda County, California",47175,70446,38000
1400000US06001422400,"Census Tract 4224, Alameda County, California",32715,88326,27865
1400000US06001422500,"Census Tract 4225, Alameda County, California",29732,91536,21429
1400000US06001422600,"Census Tract 4226, Alameda County, California",16250,31250,"2,500-"
1400000US06001422700,"Census Tract 4227, Alameda County, California",26094,59844,18750
1400000US06001422800,"Census Tract 4228, Alameda County, California",11020,24861,10864
1400000US06001422900,"Census Tract 4229, Alameda County, California",17224,42344,16324
1400000US06001423000,"Census Tract 4230, Alameda County, California",45000,81574,35392
1400000US06001423100,"Census Tract 4231, Alameda County, California",37889,52656,29494
1400000US06001423200,"Census Tract 4232, Alameda County, California",31745,55347,25122
1400000US06001423300,"Census Tract 4233, Alameda County, California",35903,44671,26188
1400000US06001423400,"Census Tract 4234, Alameda County, California",38063,58750,26025
1400000US06001423500,"Census Tract 4235, Alameda County, California",35381,56528,22904
1400000US06001423601,"Census Tract 4236.01, Alameda County, California",54476,83272,39118
1400000US06001423602,"Census Tract 4236.02, Alameda County, California",20141,61295,15702
1400000US06001423700,"Census Tract 4237, Alameda County, California",41488,103518,22404
1400000US06001423800,"Census Tract 4238, Alameda County, California",105243,134925,40208
1400000US06001423901,"Census Tract 4239.01, Alameda County, California",43611,66094,31938
1400000US06001423902,"Census Tract 4239.02, Alameda County, California",55648,100891,36250
1400000US06001424001,"Census Tract 4240.01, Alameda County, California",30666,52394,26272
1400000US06001424002,"Census Tract 4240.02, Alameda County, California",35000,43750,28750
1400000US06001425100,"Census Tract 4251, Alameda County, California",44583,56000,36250
1400000US06001426100,"Census Tract 4261, Alameda County, California",160788,167304,88056
1400000US06001426200,"Census Tract 4262, Alameda County, California",103235,112610,64205
1400000US06001427100,"Census Tract 4271, Alameda County, California",80397,97020,59063
1400000US06001427200,"Census Tract 4272, Alameda County, California",41371,54514,35972
1400000US06001427300,"Census Tract 4273, Alameda County, California",51576,78889,30931
1400000US06001427400,"Census Tract 4274, Alameda County, California",45329,36250,45921
1400000US06001427500,"Census Tract 4275, Alameda County, California",72321,"200,000+",71607
1400000US06001427600,"Census Tract 4276, Alameda County, California",35942,41563,35000
1400000US06001427700,"Census Tract 4277, Alameda County, California",53836,72344,47215
1400000US06001427800,"Census Tract 4278, Alameda County, California",49769,71350,39613
1400000US06001427900,"Census Tract 4279, Alameda County, California",48371,72917,40577
1400000US06001428000,"Census Tract 4280, Alameda County, California",45227,46406,45065
1400000US06001428100,"Census Tract 4281, Alameda County, California",55899,67552,37372
1400000US06001428200,"Census Tract 4282, Alameda County, California",55796,67150,46454
1400000US06001428301,"Census Tract 4283.01, Alameda County, California",74700,75845,55721
1400000US06001428302,"Census Tract 4283.02, Alameda County, California",106941,109790,48194
1400000US06001428400,"Census Tract 4284, Alameda County, California",48794,62500,41588
1400000US06001428500,"Census Tract 4285, Alameda County, California",57011,69688,48026
1400000US06001428600,"Census Tract 4286, Alameda County, California",58359,59375,56985
1400000US06001430100,"Census Tract 4301, Alameda County, California",97655,100756,80106
1400000US06001430200,"Census Tract 4302, Alameda County, California",77950,79623,67708
1400000US06001430300,"Census Tract 4303, Alameda County, California",72368,75212,60000
1400000US06001430400,"Census Tract 4304, Alameda County, California",90502,90874,86699
1400000US06001430500,"Census Tract 4305, Alameda County, California",57078,68017,44940
1400000US06001430600,"Census Tract 4306, Alameda County, California",76893,79052,51667
1400000US06001430700,"Census Tract 4307, Alameda County, California",65403,67798,48542
1400000US06001430800,"Census Tract 4308, Alameda County, California",54063,59233,42500
1400000US06001430900,"Census Tract 4309, Alameda County, California",46528,55962,44909
1400000US06001431000,"Census Tract 4310, Alameda County, California",41324,42292,41116
1400000US06001431100,"Census Tract 4311, Alameda County, California",47976,60729,44107
1400000US06001431200,"Census Tract 4312, Alameda County, California",52911,60361,46667
1400000US06001432100,"Census Tract 4321, Alameda County, California",60250,69306,36691
1400000US06001432200,"Census Tract 4322, Alameda County, California",47614,67353,30643
1400000US06001432300,"Census Tract 4323, Alameda County, California",48836,54816,40250
1400000US06001432400,"Census Tract 4324, Alameda County, California",50843,58452,45574
1400000US06001432500,"Census Tract 4325, Alameda County, California",50216,56000,42847
1400000US06001432600,"Census Tract 4326, Alameda County, California",40683,51919,37173
1400000US06001432700,"Census Tract 4327, Alameda County, California",65927,70583,42500
1400000US06001432800,"Census Tract 4328, Alameda County, California",72625,81094,41667
1400000US06001433000,"Census Tract 4330, Alameda County, California",50614,51979,46719
1400000US06001433101,"Census Tract 4331.01, Alameda County, California",40317,51591,37037
1400000US06001433102,"Census Tract 4331.02, Alameda County, California",50609,54583,43750
1400000US06001433200,"Census Tract 4332, Alameda County, California",50259,56806,42870
1400000US06001433300,"Census Tract 4333, Alameda County, California",53333,58641,43400
1400000US06001433400,"Census Tract 4334, Alameda County, California",65037,67361,55329
1400000US06001433500,"Census Tract 4335, Alameda County, California",60350,60625,59688
1400000US06001433600,"Census Tract 4336, Alameda County, California",50855,55508,44306
1400000US06001433700,"Census Tract 4337, Alameda County, California",47575,55278,46213
1400000US06001433800,"Census Tract 4338, Alameda County, California",43278,49167,39455
1400000US06001433900,"Census Tract 4339, Alameda County, California",38675,56000,35605
1400000US06001434000,"Census Tract 4340, Alameda County, California",34701,44536,28721
1400000US06001435101,"Census Tract 4351.01, Alameda County, California",67052,101982,44651
1400000US06001435102,"Census Tract 4351.02, Alameda County, California",72273,91446,50737
1400000US06001435200,"Census Tract 4352, Alameda County, California",70449,78538,49097
1400000US06001435300,"Census Tract 4353, Alameda County, California",57123,66699,51023
1400000US06001435400,"Census Tract 4354, Alameda County, California",37392,66875,31509
1400000US06001435500,"Census Tract 4355, Alameda County, California",37000,45278,33221
1400000US06001435600,"Census Tract 4356, Alameda County, California",43807,51046,39894
1400000US06001435700,"Census Tract 4357, Alameda County, California",50000,56600,40583
1400000US06001435800,"Census Tract 4358, Alameda County, California",56206,57212,51458
1400000US06001435900,"Census Tract 4359, Alameda County, California",59811,60402,56250
1400000US06001436000,"Census Tract 4360, Alameda County, California",58571,60924,45938
1400000US06001436100,"Census Tract 4361, Alameda County, California",48000,64148,26368
1400000US06001436200,"Census Tract 4362, Alameda County, California",42452,54375,41875
1400000US06001436300,"Census Tract 4363, Alameda County, California",42094,57426,37324
1400000US06001436401,"Census Tract 4364.01, Alameda County, California",48687,68214,36423
1400000US06001436402,"Census Tract 4364.02, Alameda County, California",98873,101674,53750
1400000US06001436500,"Census Tract 4365, Alameda County, California",50817,68375,45214
1400000US06001436601,"Census Tract 4366.01, Alameda County, California",45700,66548,37318
1400000US06001436602,"Census Tract 4366.02, Alameda County, California",37991,73250,35175
1400000US06001436700,"Census Tract 4367, Alameda County, California",52589,54914,47083
1400000US06001436800,"Census Tract 4368, Alameda County, California",52028,66970,41250
1400000US06001436900,"Census Tract 4369, Alameda County, California",49946,62275,38169
1400000US06001437000,"Census Tract 4370, Alameda County, California",57458,57176,64375
1400000US06001437100,"Census Tract 4371, Alameda County, California",56823,62578,45550
1400000US06001437200,"Census Tract 4372, Alameda County, California",54630,63299,46853
1400000US06001437300,"Census Tract 4373, Alameda County, California",56063,69135,40221
1400000US06001437400,"Census Tract 4374, Alameda County, California",56304,55288,60208
1400000US06001437500,"Census Tract 4375, Alameda County, California",37440,42452,35270
1400000US06001437600,"Census Tract 4376, Alameda County, California",49821,61250,30994
1400000US06001437700,"Census Tract 4377, Alameda County, California",38971,50682,38056
1400000US06001437800,"Census Tract 4378, Alameda County, California",63068,70153,51793
1400000US06001437900,"Census Tract 4379, Alameda County, California",43350,48000,41542
1400000US06001438000,"Census Tract 4380, Alameda County, California",61667,64914,56500
1400000US06001438100,"Census Tract 4381, Alameda County, California",66071,71250,51888
1400000US06001438201,"Census Tract 4382.01, Alameda County, California",60033,59931,60750
1400000US06001438202,"Census Tract 4382.02, Alameda County, California",51404,52218,47569
1400000US06001438300,"Census Tract 4383, Alameda County, California",65469,65898,63472
1400000US06001438400,"Census Tract 4384, Alameda County, California",59044,61375,41607
1400000US06001440100,"Census Tract 4401, Alameda County, California",67083,74219,52176
1400000US06001440200,"Census Tract 4402, Alameda County, California",53140,52337,53409
1400000US06001440301,"Census Tract 4403.01, Alameda County, California",69028,76679,45795
1400000US06001440302,"Census Tract 4403.02, Alameda County, California",86712,90153,61528
1400000US06001440304,"Census Tract 4403.04, Alameda County, California",65807,75442,28333
1400000US06001440305,"Census Tract 4403.05, Alameda County, California",80284,83535,62361
1400000US06001440306,"Census Tract 4403.06, Alameda County, California",68958,69792,65938
1400000US06001440307,"Census Tract 4403.07, Alameda County, California",52697,55313,45417
1400000US06001440308,"Census Tract 4403.08, Alameda County, California",64732,90254,40917
1400000US06001440309,"Census Tract 4403.09, Alameda County, California",73695,81193,60705
1400000US06001440331,"Census Tract 4403.31, Alameda County, California",56921,79156,43500
1400000US06001440332,"Census Tract 4403.32, Alameda County, California",129962,130719,45417
1400000US06001441100,"Census Tract 4411, Alameda County, California",83735,93145,51806
1400000US06001441200,"Census Tract 4412, Alameda County, California",76688,91241,50609
1400000US06001441301,"Census Tract 4413.01, Alameda County, California",80000,122895,62917
1400000US06001441302,"Census Tract 4413.02, Alameda County, California",85370,92721,46016
1400000US06001441401,"Census Tract 4414.01, Alameda County, California",66278,85325,48594
1400000US06001441402,"Census Tract 4414.02, Alameda County, California",87200,96880,52446
1400000US06001441501,"Census Tract 4415.01, Alameda County, California",94986,101233,41094
1400000US06001441503,"Census Tract 4415.03, Alameda County, California",90296,100783,71321
1400000US06001441521,"Census Tract 4415.21, Alameda County, California",77793,83466,37105
1400000US06001441522,"Census Tract 4415.22, Alameda County, California",80804,82038,69063
1400000US06001441601,"Census Tract 4416.01, Alameda County, California",71771,73701,58462
1400000US06001441602,"Census Tract 4416.02, Alameda County, California",65442,74485,48603
1400000US06001441700,"Census Tract 4417, Alameda County, California",59291,73500,41548
1400000US06001441800,"Census Tract 4418, Alameda County, California",65276,71282,55184
1400000US06001441901,"Census Tract 4419.01, Alameda County, California",71516,78644,67060
1400000US06001441921,"Census Tract 4419.21, Alameda County, California",72234,57321,78696
1400000US06001441922,"Census Tract 4419.22, Alameda County, California",60695,75662,56300
1400000US06001441923,"Census Tract 4419.23, Alameda County, California",55203,82839,51775
1400000US06001442000,"Census Tract 4420, Alameda County, California",115724,122028,61250
1400000US06001442100,"Census Tract 4421, Alameda County, California",100608,103290,72813
1400000US06001442200,"Census Tract 4422, Alameda County, California",83121,86516,46544
1400000US06001442300,"Census Tract 4423, Alameda County, California",58345,81251,49968
1400000US06001442400,"Census Tract 4424, Alameda County, California",73286,79798,60764
1400000US06001442500,"Census Tract 4425, Alameda County, California",71127,78505,53963
1400000US06001442600,"Census Tract 4426, Alameda County, California",70448,90462,55096
1400000US06001442700,"Census Tract 4427, Alameda County, California",67900,68897,65536
1400000US06001442800,"Census Tract 4428, Alameda County, California",69167,77297,50625
1400000US06001442900,"Census Tract 4429, Alameda County, California",80434,83384,66658
1400000US06001443001,"Census Tract 4430.01, Alameda County, California",68932,69459,67847
1400000US06001443002,"Census Tract 4430.02, Alameda County, California",70320,70661,63500
1400000US06001443101,"Census Tract 4431.01, Alameda County, California",107551,121352,66302
1400000US06001443102,"Census Tract 4431.02, Alameda County, California",126649,129555,67404
1400000US06001443103,"Census Tract 4431.03, Alameda County, California",150583,152054,100000
1400000US06001443200,"Census Tract 4432, Alameda County, California",161831,161831,0
1400000US06001443301,"Census Tract 4433.01, Alameda County, California",93806,100346,65972
1400000US06001443302,"Census Tract 4433.02, Alameda County, California",65889,75460,56484
1400000US06001444100,"Census Tract 4441, Alameda County, California",74467,84967,14101
1400000US06001444200,"Census Tract 4442, Alameda County, California",65167,66295,61250
1400000US06001444300,"Census Tract 4443, Alameda County, California",72431,86395,46447
1400000US06001444400,"Census Tract 4444, Alameda County, California",60549,69758,48929
1400000US06001444500,"Census Tract 4445, Alameda County, California",61638,70125,52313
1400000US06001444600,"Census Tract 4446, Alameda County, California",76723,77752,69559
1400000US06001450100,"Census Tract 4501, Alameda County, California",95207,106407,80000
1400000US06001450200,"Census Tract 4502, Alameda County, California",67035,73631,63470
1400000US06001450300,"Census Tract 4503, Alameda County, California",73988,75808,65500
1400000US06001450400,"Census Tract 4504, Alameda County, California",68580,73698,50150
1400000US06001450500,"Census Tract 4505, Alameda County, California",92531,100094,66208
1400000US06001450601,"Census Tract 4506.01, Alameda County, California",103823,108689,78864
1400000US06001450602,"Census Tract 4506.02, Alameda County, California",98699,106045,84640
1400000US06001450603,"Census Tract 4506.03, Alameda County, California",86567,89061,76187
1400000US06001450604,"Census Tract 4506.04, Alameda County, California",100897,109477,60119
1400000US06001450605,"Census Tract 4506.05, Alameda County, California",86287,90097,64375
1400000US06001450606,"Census Tract 4506.06, Alameda County, California",110950,114415,86539
1400000US06001450607,"Census Tract 4506.07, Alameda County, California",50137,66667,46306
1400000US06001450701,"Census Tract 4507.01, Alameda County, California",145915,160756,65100
1400000US06001450703,"Census Tract 4507.03, Alameda County, California",93580,102911,59000
1400000US06001450721,"Census Tract 4507.21, Alameda County, California",102487,105582,71250
1400000US06001450722,"Census Tract 4507.22, Alameda County, California",83044,98393,60188
1400000US06001450741,"Census Tract 4507.41, Alameda County, California",66693,91143,46083
1400000US06001450742,"Census Tract 4507.42, Alameda County, California",83844,88777,60398
1400000US06001451101,"Census Tract 4511.01, Alameda County, California",87122,91333,66493
1400000US06001451102,"Census Tract 4511.02, Alameda County, California",114730,117368,100309
1400000US06001451201,"Census Tract 4512.01, Alameda County, California",70616,79448,41250
1400000US06001451202,"Census Tract 4512.02, Alameda County, California",86451,86509,84501
1400000US06001451300,"Census Tract 4513, Alameda County, California",80895,86064,49408
1400000US06001451401,"Census Tract 4514.01, Alameda County, California",80648,102786,34750
1400000US06001451402,"Census Tract 4514.02, Alameda County, California",60015,70231,43125
1400000US06001451501,"Census Tract 4515.01, Alameda County, California",60025,76664,45496
1400000US06001451502,"Census Tract 4515.02, Alameda County, California",82867,95217,45263
1400000US06001451503,"Census Tract 4515.03, Alameda County, California",65727,73821,39167
1400000US06001451601,"Census Tract 4516.01, Alameda County, California",74750,97771,41892
1400000US06001451602,"Census Tract 4516.02, Alameda County, California",71195,86384,46875
1400000US06001451701,"Census Tract 4517.01, Alameda County, California",68396,69932,48750
1400000US06001451702,"Census Tract 4517.02, Alameda County, California",73852,83570,49453
1400000US06003010000,"Census Tract 100, Alpine County, California",40781,50625,30750
1400000US06005000100,"Census Tract 1, Amador County, California",39211,41408,27208
1400000US06005000200,"Census Tract 2, Amador County, California",46031,50273,32778
1400000US06005000301,"Census Tract 3.01, Amador County, California",47917,51210,35125
1400000US06005000302,"Census Tract 3.02, Amador County, California",41395,49075,30995
1400000US06005000401,"Census Tract 4.01, Amador County, California",40607,49167,31008
1400000US06005000402,"Census Tract 4.02, Amador County, California",44457,50596,23510
1400000US06005000500,"Census Tract 5, Amador County, California",45298,55385,36429
1400000US06007000101,"Census Tract 1.01, Butte County, California",40329,50538,28718
1400000US06007000102,"Census Tract 1.02, Butte County, California",40579,45985,28491
1400000US06007000201,"Census Tract 2.01, Butte County, California",34891,47344,26830
1400000US06007000202,"Census Tract 2.02, Butte County, California",30494,34737,25804
1400000US06007000300,"Census Tract 3, Butte County, California",24902,40708,18841
1400000US06007000400,"Census Tract 4, Butte County, California",45867,53320,25405
1400000US06007000501,"Census Tract 5.01, Butte County, California",45089,66439,15329
1400000US06007000502,"Census Tract 5.02, Butte County, California",17115,44896,14458
1400000US06007000601,"Census Tract 6.01, Butte County, California",44423,54966,25907
1400000US06007000603,"Census Tract 6.03, Butte County, California",21984,51094,16997
1400000US06007000604,"Census Tract 6.04, Butte County, California",16242,85154,15304
1400000US06007000700,"Census Tract 7, Butte County, California",28087,47823,21135
1400000US06007000800,"Census Tract 8, Butte County, California",42483,46917,26076
1400000US06007000900,"Census Tract 9, Butte County, California",41372,53197,30918
1400000US06007001000,"Census Tract 10, Butte County, California",18529,38583,15537
1400000US06007001100,"Census Tract 11, Butte County, California",20962,38611,14250
1400000US06007001200,"Census Tract 12, Butte County, California",26292,36771,21192
1400000US06007001300,"Census Tract 13, Butte County, California",24049,37788,20608
1400000US06007001400,"Census Tract 14, Butte County, California",55885,64258,26797
1400000US06007001500,"Census Tract 15, Butte County, California",51893,62332,28051
1400000US06007001600,"Census Tract 16, Butte County, California",51853,62639,22656
1400000US06007001701,"Census Tract 17.01, Butte County, California",31101,35108,25750
1400000US06007001702,"Census Tract 17.02, Butte County, California",34470,37094,20368
1400000US06007001800,"Census Tract 18, Butte County, California",30633,35960,19565
1400000US06007001900,"Census Tract 19, Butte County, California",32175,31982,33438
1400000US06007002000,"Census Tract 20, Butte County, California",32342,36902,21442
1400000US06007002100,"Census Tract 21, Butte County, California",31105,40158,19654
1400000US06007002200,"Census Tract 22, Butte County, California",32889,41851,17596
1400000US06007002300,"Census Tract 23, Butte County, California",32692,36698,18500
1400000US06007002400,"Census Tract 24, Butte County, California",28773,30978,17100
1400000US06007002500,"Census Tract 25, Butte County, California",22218,37837,18182
1400000US06007002600,"Census Tract 26, Butte County, California",38608,40833,27857
1400000US06007002700,"Census Tract 27, Butte County, California",35872,43125,15991
1400000US06007002800,"Census Tract 28, Butte County, California",17137,31513,13741
1400000US06007002900,"Census Tract 29, Butte County, California",26939,27744,25917
1400000US06007003000,"Census Tract 30, Butte County, California",20506,24092,16440
1400000US06007003100,"Census Tract 31, Butte County, California",37363,40101,21484
1400000US06007003200,"Census Tract 32, Butte County, California",29080,34000,16845
1400000US06007003300,"Census Tract 33, Butte County, California",32547,36210,21000
1400000US06007003400,"Census Tract 34, Butte County, California",31789,47426,21288
1400000US06007003500,"Census Tract 35, Butte County, California",28302,38764,20317
1400000US06007003600,"Census Tract 36, Butte County, California",37163,40956,27083
1400000US06009000110,"Census Tract 1.10, Calaveras County, California",38235,45570,27500
1400000US06009000120,"Census Tract 1.20, Calaveras County, California",41741,42038,37250
1400000US06009000210,"Census Tract 2.10, Calaveras County, California",47131,50264,28041
1400000US06009000220,"Census Tract 2.20, Calaveras County, California",49176,50221,41875
1400000US06009000300,"Census Tract 3, Calaveras County, California",34247,37845,24787
1400000US06009000400,"Census Tract 4, Calaveras County, California",30175,35685,18631
1400000US06009000500,"Census Tract 5, Calaveras County, California",44712,47633,34250
1400000US06011000100,"Census Tract 1, Colusa County, California",35116,44650,25069
1400000US06011000200,"Census Tract 2, Colusa County, California",37466,43900,24286
1400000US06011000300,"Census Tract 3, Colusa County, California",35944,40568,29141
1400000US06011000400,"Census Tract 4, Colusa County, California",32244,37396,23833
1400000US06011000500,"Census Tract 5, Colusa County, California",31324,39306,23482
1400000US06013301000,"Census Tract 3010, Contra Costa County, California",41615,40568,42500
